row	old_commit	old_parent	old_tree	old_patch_id	old_timestamp	old_subject	reaching_source_refs	final_responsibility_ordinal	new_commit	new_parent	new_tree	new_patch_id	new_timestamp	new_subject	stable_relation	disposition	evidence
1	4cd080ec84022c7933d53ea93808303e5a5e4340	-	1b14debf28131c1d5a31419b24659c178aa95e36	2d0a9872d497214158a847a529d5ba23878ae788	2026-03-03T09:00:00+09:00	chore(project): initialize betting-service layout	v0.1.0	001	c920e5849243d1c9588dd033c37797512d20ac21	-	3bc22fc536ea1cbe6fb7512968b2e8a26ff660b0	7525b389ab04b56ee08485fe63bd0633017ba84e	2026-04-01T10:12:11+09:00	chore(project): initialize the betting service	curated	deduplicate	source-audit/source-union-disposition.tsv graph=v0.1.0; Patch-identical canonical root responsibility before provenance cleanup.
2	864a0502455f279ab86e0f5b734590d19ca94e7b	4cd080ec84022c7933d53ea93808303e5a5e4340	86de281e15dd2b038eb0966e3cd9261213b6347b	57f58bc9f44c531e2a47abbcfba0e731497fa89f	2026-03-03T14:36:00+09:00	feat(domain): introduce Bet aggregate + BetLeg entity (STI slip model)	v0.1.0	002	dea3e21509a024e9c01aa28364b213d1b67d68de	c920e5849243d1c9588dd033c37797512d20ac21	08a547c18d3f6eb77eb79e42f9993e5e839fa6e7	ac38fb6e1afa21a7fca8c3c8cd990b30a71b54b5	2026-04-01T15:43:27+09:00	feat(domain): model the bet aggregate and legs	curated	deduplicate	source-audit/source-union-disposition.tsv graph=v0.1.0; Patch-identical aggregate responsibility before provenance cleanup.
3	e9a6016334ccdfc80fee699b331828e2be0c5a97	864a0502455f279ab86e0f5b734590d19ca94e7b	97224c2f7ce2a1b2337972df3ec1cdc3538491e1	9f7bc2989bb718fbb52330e07e2d1c79634ebf16	2026-03-03T20:12:00+09:00	test(domain): cover Bet/BetLeg invariants	v0.1.0	003	499cff053149bef0144550ed0e7f13b83108eddd	dea3e21509a024e9c01aa28364b213d1b67d68de	f4741b401e1d69bb1973c09be9aefdc951f4b405	9f7bc2989bb718fbb52330e07e2d1c79634ebf16	2026-04-02T11:18:34+09:00	test(domain): cover aggregate invariants	patch-identical	deduplicate	source-audit/source-union-disposition.tsv graph=v0.1.0; Patch-identical responsibility.
4	318e71f48afffa1c6b1886fffa7b6c82971d0c79	e9a6016334ccdfc80fee699b331828e2be0c5a97	301294b28ae293270c2f52c967c9c4895bcd1115	4f63adb318a02a91abd142010460247569dd094a	2026-03-04T13:48:00+09:00	build(flyway): add V1__bet_and_leg schema	v0.1.0	004	fc4cb2211c495c6bd7274cfc5675a8ac263e0b93	499cff053149bef0144550ed0e7f13b83108eddd	ce2909570bc0350436aba790689e234574ad223e	4f63adb318a02a91abd142010460247569dd094a	2026-04-02T16:07:48+09:00	build(flyway): define the bet and leg schema	patch-identical	deduplicate	source-audit/source-union-disposition.tsv graph=v0.1.0; Patch-identical responsibility.
5	0063c07db0c42c51a0eeb2a96ace49326bd05a8e	318e71f48afffa1c6b1886fffa7b6c82971d0c79	fd179c274d7c42495e9d1de3fc17bd9dfe3a6f92	c51dca80b06df393ba5337689af18d40b5d30970	2026-03-04T19:24:00+09:00	refactor(test): scope Bet persistence test to a JPA slice	v0.1.0	005	159f5cf28c2b3f0f33bd48f6df57012efb28f51f	fc4cb2211c495c6bd7274cfc5675a8ac263e0b93	66322cd09806d0920c997b7d5cde166187a178ac	c51dca80b06df393ba5337689af18d40b5d30970	2026-04-03T10:26:05+09:00	refactor(test): isolate persistence mapping checks	patch-identical	deduplicate	source-audit/source-union-disposition.tsv graph=v0.1.0; Patch-identical responsibility.
6	a8f2056cbffebdfd71b39306eccabc8a3f37373a	0063c07db0c42c51a0eeb2a96ace49326bd05a8e	1aff3e6c9a531897cf0beae89d262a943bf4b588	47254aa75eaa7204f7b323d85edb6dedf07c4158	2026-03-05T13:00:00+09:00	feat(validation): add slip structural validator with policy	v0.1.0	006	97a52ec7c5e1707bf2947ca65ae8a601b3fecb19	159f5cf28c2b3f0f33bd48f6df57012efb28f51f	a555253814e1d878af26365e0f92a3b1c9e9fa90	47254aa75eaa7204f7b323d85edb6dedf07c4158	2026-04-03T15:54:22+09:00	feat(validation): validate slip structure and stakes	patch-identical	deduplicate	source-audit/source-union-disposition.tsv graph=v0.1.0; Patch-identical responsibility.
7	435778eeab5ab436e851e80508ed0fa33873f65a	a8f2056cbffebdfd71b39306eccabc8a3f37373a	cf063c7578afe82656ca938c83a5097d85869869	d2df0464dc803a634fded6b4d25de17c16c49904	2026-03-05T18:36:00+09:00	feat(validation): add odds slippage checker over the odds-feed cache	v0.1.0	007	c909f8649b2a7eb5934f84a123cb6b4cbe553d37	97a52ec7c5e1707bf2947ca65ae8a601b3fecb19	fb83ac85d2b9c822de18afd88ecb51c2d037b087	d2df0464dc803a634fded6b4d25de17c16c49904	2026-04-04T11:37:41+09:00	feat(validation): verify live odds slippage	patch-identical	deduplicate	source-audit/source-union-disposition.tsv graph=v0.1.0; Patch-identical responsibility.
8	cfa5b57412ad1046eb0b56ff79cb4f813acdf8a8	435778eeab5ab436e851e80508ed0fa33873f65a	314c219df8fcf3d71f62d9bbda86c30571f1e749	ab83ee9b2dbc870556d09d799f833a0f834f510b	2026-03-06T12:12:00+09:00	test(validation): cover slip rules and slippage boundaries	v0.1.0	008	c4fd4bb623b833c63c954a88af6fb77198cfa23d	c909f8649b2a7eb5934f84a123cb6b4cbe553d37	112a71cf5f9bf3e22019c87ba20854a603311249	ab83ee9b2dbc870556d09d799f833a0f834f510b	2026-04-04T17:12:09+09:00	test(validation): cover slip and slippage boundaries	patch-identical	deduplicate	source-audit/source-union-disposition.tsv graph=v0.1.0; Patch-identical responsibility.
9	312000b8a80aa477c86c853e4ef527b6d707a16e	cfa5b57412ad1046eb0b56ff79cb4f813acdf8a8	6823777226d1eec151eb6d1445e6e13f09b8cb56	3b3b08b726a9f3d005e44f6e846da7b0c3e15c2a	2026-03-06T17:48:00+09:00	feat(domain): add SystemBetCalculator for K-of-N combinations + payout	v0.1.0	009	d3f680581e68c8ccdd38efec25986a94f77ec7b4	c4fd4bb623b833c63c954a88af6fb77198cfa23d	8bcf1a48c9485ec1e3119719c8dec39358caad59	3b3b08b726a9f3d005e44f6e846da7b0c3e15c2a	2026-04-05T10:48:36+09:00	feat(domain): calculate system bet combinations	patch-identical	deduplicate	source-audit/source-union-disposition.tsv graph=v0.1.0; Patch-identical responsibility.
10	595c267137d144936867fd0504b591e851a6b0a4	312000b8a80aa477c86c853e4ef527b6d707a16e	e63e83a9c18fa20f9401fb3c2d96f04c482fbb89	2cfe205343b658b4d7f57fef1d84494663bf6b54	2026-03-09T11:24:00+09:00	test(domain): prove System bet combinations and payout	v0.1.0	010	db38519d134fff5878f4385dbaac6dc10f30c83f	d3f680581e68c8ccdd38efec25986a94f77ec7b4	4ca4db171a0e885216a753dfadeb97bb792e2a41	2cfe205343b658b4d7f57fef1d84494663bf6b54	2026-04-05T16:25:14+09:00	test(domain): verify system bet payout math	patch-identical	deduplicate	source-audit/source-union-disposition.tsv graph=v0.1.0; Patch-identical responsibility.
