old_commit	old_parent	old_tree	old_author_time	old_subject	old_patch_id	reaching_source_refs	new_commit	new_parent	new_tree	new_author_time	new_subject	new_patch_id	mapping_basis	disposition	notes
b33852517f8e19e1bddae3e42f90552201ff03d0		d411a3b149a159a068343825db09493f4d405a12	2026-04-02T10:32:15+09:00	chore(project): initialize risk-service layout	fa8630d754082274752e1d2285bbc9279d22634b	diagnostic-codex-5.6-red,pre-risk-v1							no_canonical_source_responsibility	delete_legacy_unique_unadvertised_graph	preserved_only_in_verified_source_rollback_bundle_until_fresh_clone_green
2e06e6a78ecf99d2790197a876535d2039942e2a	b33852517f8e19e1bddae3e42f90552201ff03d0	fbaf65f15bf14be8cf1f986b11c27ba8f7d2464f	2026-04-02T11:01:50+09:00	feat(policy): bind risk limits and pattern rules from application.yml	ef5d5da53f9be18ee9b18dee81de5cd81ba1239e	diagnostic-codex-5.6-red,pre-risk-v1	428250bc761023273fe58ade82a50dcff6562c0d	005a7391b814e03196e7d50e442abf8831d9089a	7db185960675f6d679ac0ad3525a205532a63aee	2026-04-02T11:01:50+09:00	feat(policy): bind risk policies from configuration	ef5d5da53f9be18ee9b18dee81de5cd81ba1239e	stable_patch_id	delete_legacy_duplicate_map_to_canonical_main	stable_patch_id_matches_main:433d240b5be76501ec7bd776456cf48e32139aff
3cab7abd889d378b87f49811639b6d8832dce807	2e06e6a78ecf99d2790197a876535d2039942e2a	53a1adfc26bc0ea16f419ecbc1e249fb0875f14c	2026-04-03T11:56:09+09:00	chore(project): ignore .claude/ session directory	55c2e699dbee39bc552b2e1ce0ace2bac94eae27	diagnostic-codex-5.6-red,pre-risk-v1							stable_patch_id_to_dropped_main_responsibility	delete_legacy_provenance_duplicate	stable_patch_id_matches_dropped_main_commit:51c5aeaf41272581b16485d16fc02b2d0c9acf44
56704525b285e9d8571b174d8b46ea787f8e81aa	3cab7abd889d378b87f49811639b6d8832dce807	b156d5a1f2b33648a3330e8267a1d435e681177e	2026-04-03T12:26:33+09:00	feat(counter): atomic sliding-window counter on Redis sorted set + sum key	1d2ec2bd58254765a4c6ccd02a720335c1f604e7	diagnostic-codex-5.6-red,pre-risk-v1	0378a751ac27e64657e6ca292d2fd0f07fd95c45	428250bc761023273fe58ade82a50dcff6562c0d	e679a2704cebc8ad88fc222a0340914b463f0a9d	2026-04-03T12:26:33+09:00	feat(counter): add atomic sliding-window counters	1d2ec2bd58254765a4c6ccd02a720335c1f604e7	stable_patch_id	delete_legacy_duplicate_map_to_canonical_main	stable_patch_id_matches_main:377bbc8e5158d77e3b16a817254b9c2eb19ad9e0
c62d775078e22ead27140ae2d0a8b6ac3bfc4742	56704525b285e9d8571b174d8b46ea787f8e81aa	8299bcea4d3d6064e14133779cb1752639cc1c8a	2026-04-06T10:32:45+09:00	feat(limit): Redis-backed per-subject overrides + policy-fallback resolver	bcdf8468ffc023a8b2d3095f23eb58508e532f78	diagnostic-codex-5.6-red,pre-risk-v1	5e0450449bdcc2373ba5bebd6bde4d0aeb0e1ba7	0378a751ac27e64657e6ca292d2fd0f07fd95c45	f0ce3986ff7efff54abf425490144509a6fef48a	2026-04-04T09:10:18+09:00	feat(limit): resolve scoped risk overrides	bcdf8468ffc023a8b2d3095f23eb58508e532f78	stable_patch_id	delete_legacy_duplicate_map_to_canonical_main	stable_patch_id_matches_main:ecd71f0e43fa132effea83852f1267917d6794e9
63a6c2d4595d0f466f2240327447e560a2590d8e	c62d775078e22ead27140ae2d0a8b6ac3bfc4742	0b8f1ac4bcb3f02bdf597b70238cda320555433d	2026-04-06T10:36:02+09:00	feat(pattern): rule engine with strategy-pattern rules for V1 detection	fb81f45d0c13d7679eca29f22baad2ab596f9095	diagnostic-codex-5.6-red,pre-risk-v1	64e3da8d045851b953c68778474d30ef3ca63ba2	5e0450449bdcc2373ba5bebd6bde4d0aeb0e1ba7	41a75746b3e6fe8587196bded961224bfaa5f1fd	2026-04-04T09:45:27+09:00	feat(pattern): evaluate suspicious betting patterns	fb81f45d0c13d7679eca29f22baad2ab596f9095	stable_patch_id	delete_legacy_duplicate_map_to_canonical_main	stable_patch_id_matches_main:140142456bdcb8422d15336d1149341b75257f99
f81f70ec13f35bc7e8418a2e208543d9a5131287	63a6c2d4595d0f466f2240327447e560a2590d8e	6549fdef17f049a6b46985919f0f67175cbb2485	2026-04-07T12:50:09+09:00	feat(api): synchronous check API + per-user limit management endpoints	ee83b95d9daf0bf09100ad446e9f2fbd8f83ab72	diagnostic-codex-5.6-red,pre-risk-v1	2d4c56235201da3e5466a18ce8d8764246f33a2e	64e3da8d045851b953c68778474d30ef3ca63ba2	a58de474807f6da2fefdada51ddb9a5c4040c43d	2026-04-04T10:20:41+09:00	feat(api): expose internal risk checks and limit controls	ee83b95d9daf0bf09100ad446e9f2fbd8f83ab72	stable_patch_id	delete_legacy_duplicate_map_to_canonical_main	stable_patch_id_matches_main:10ae0c29fa5f9a696b7d86fa7c046de691f544a9
6184f2cc4d944b85604a929d31b4209de06add69	f81f70ec13f35bc7e8418a2e208543d9a5131287	9426da22218a580b77ede98a781d4aee4e62663c	2026-04-07T13:23:25+09:00	feat(events): Kafka event sourcing for counters + risk event publishing	6ec60a46ea747bddc753bab2aff007286c31adc7	diagnostic-codex-5.6-red,pre-risk-v1	5012f3c523fa4d73270edbb0322d96cf1906b98b	2d4c56235201da3e5466a18ce8d8764246f33a2e	54051985157f86f78a2e5c7fbc072cf05cfc2de7	2026-04-04T11:05:22+09:00	feat(events): consume placed bets and publish risk events	6ec60a46ea747bddc753bab2aff007286c31adc7	stable_patch_id	delete_legacy_duplicate_map_to_canonical_main	stable_patch_id_matches_main:393edd219dae49e74f08fab8f88678fedbf4ed51
78e2d2dc7aa687508eef89be68d819b44f875bbf	6184f2cc4d944b85604a929d31b4209de06add69	4ff6796c02704fb7ca97b6ff8359beebe56ab818	2026-04-07T20:59:43+09:00	build(deps): add commons-pool2 for Lettuce connection pooling	2a706e744a447baa23ca8ba05412a29ee1fcc854	diagnostic-codex-5.6-red,pre-risk-v1	c7d65c00c5418017a663a4c07bbc8efdb835c0d1	5012f3c523fa4d73270edbb0322d96cf1906b98b	30f5549a384bddbddc7beab39bdfd1756d4be26e	2026-04-04T11:50:36+09:00	build(deps): enable Lettuce connection pooling	84a62424732be89a98fed17fcc1bc2ec104d03ca	stable_patch_id	delete_legacy_duplicate_map_to_canonical_main	stable_patch_id_matches_main:6469726543e64c0b648e121b5ce4a9705a93af31
e2a83092c6d0fd415ec223b3d0c33f7269e7d52f	78e2d2dc7aa687508eef89be68d819b44f875bbf	715ebc3b19eeb4e5e5086c02cc5aab2d0d666598	2026-04-08T14:59:23+09:00	test(load): record risk-service baseline (check API + Kafka produce)	e89644a5d55c6d72793e549f102cbc3a4b3d8cc8	diagnostic-codex-5.6-red,pre-risk-v1	aff43752e7934ea53a24c232c4119540a3dd0e92	c7d65c00c5418017a663a4c07bbc8efdb835c0d1	9b4a223d62bd50660de175e46b56779cacba6e4a	2026-04-04T12:35:14+09:00	test(load): establish risk performance baselines	62e5a6e2467f2edbb44d6609087083da6bc119b9	stable_patch_id	delete_legacy_duplicate_map_to_canonical_main	stable_patch_id_matches_main:8d41543871a7791dbe9917d81a747c9d90839006
